CARRETERA,YEAR,n_total,n_bad_surface,RCII_pct,imd_road_mean,road_passages,RCII_rate_per100M,RCII_level
M-206,2018,34,0,0.0,18500.5,6752682.5,0.0,Low
M-206,2019,39,0,0.0,21956.2,8014013.0,0.0,Low
M-206,2020,34,0,0.0,,,,Low
M-206,2021,42,1,2.381,20974.833333333332,7655814.166666666,13.061968044548278,Low
M-206,2022,46,1,2.1739,20697.0,7554405.0,13.23730988741006,Low
M-206,2023,34,1,2.9412,20852.0,7610980.0,13.138912465937368,Low
M-206,2024,19,0,0.0,23239.0,8482235.0,0.0,Low
M-208,2016,15,0,0.0,,,,Low
M-208,2017,10,0,0.0,,,,Low
M-208,2018,12,0,0.0,10618.666666666666,3875813.333333333,0.0,Low
M-208,2019,14,0,0.0,10018.0,3656570.0,0.0,Low
M-208,2020,11,0,0.0,,,,Low
M-208,2021,18,1,5.5556,12729.5,4646267.5,21.522652322536317,Medium
M-208,2022,20,0,0.0,14850.5,5420432.5,0.0,Low
M-208,2023,12,0,0.0,14702.0,5366230.0,0.0,Low
M-208,2024,20,1,5.0,15089.25,5507576.25,18.15680717992783,Low
M-209,2016,1,0,0.0,,,,Low
M-209,2017,7,0,0.0,,,,Low
M-209,2018,5,0,0.0,8332.5,3041362.5,0.0,Low
M-209,2019,9,0,0.0,8612.0,3143380.0,0.0,Low
M-209,2020,6,0,0.0,,,,Low
M-209,2021,11,2,18.1818,8758.5,3196852.5,62.56153513494914,High
M-209,2022,7,0,0.0,8641.0,3153965.0,0.0,Low
M-209,2023,9,0,0.0,8768.5,3200502.5,0.0,Low
M-209,2024,8,0,0.0,9151.0,3340115.0,0.0,Low
M-21,2016,21,1,4.7619,,,,Low
M-21,2017,25,2,8.0,,,,Medium
M-21,2018,25,0,0.0,,,,Low
M-21,2019,18,0,0.0,,,,Low
M-21,2020,11,0,0.0,,,,Low
M-21,2021,24,0,0.0,,,,Low
M-21,2022,27,0,0.0,,,,Low
M-21,2023,21,1,4.7619,,,,Low
M-21,2024,15,0,0.0,,,,Low
M-213,2017,4,0,0.0,,,,Low
M-213,2018,2,0,0.0,3252.0,1186980.0,0.0,Low
M-213,2019,4,0,0.0,2767.0,1009955.0,0.0,Low
M-213,2020,3,0,0.0,,,,Low
M-213,2021,3,0,0.0,2611.5,953197.5,0.0,Low
M-213,2022,2,0,0.0,1609.0,587285.0,0.0,Low
M-213,2023,3,0,0.0,2882.5,1052112.5,0.0,Low
M-213,2024,3,0,0.0,2204.0,804460.0,0.0,Low
M-215,2017,1,0,0.0,,,,Low
M-215,2020,1,0,0.0,,,,Low
M-215,2023,4,1,25.0,3074.0,1122010.0,89.12576536751008,High
M-215,2024,2,0,0.0,2935.0,1071275.0,0.0,Low
M-217,2016,1,0,0.0,,,,Low
M-217,2017,3,0,0.0,,,,Low
M-217,2018,4,1,25.0,6573.0,2399145.0,41.68151570663716,High
M-217,2019,4,0,0.0,6731.0,2456815.0,0.0,Low
M-217,2020,3,0,0.0,,,,Low
M-217,2021,4,0,0.0,6797.0,2480905.0,0.0,Low
M-217,2022,4,0,0.0,6706.0,2447690.0,0.0,Low
M-217,2023,3,0,0.0,7207.0,2630555.0,0.0,Low
M-217,2024,3,0,0.0,6988.0,2550620.0,0.0,Low
M-219,2016,6,0,0.0,,,,Low
M-219,2017,3,0,0.0,,,,Low
M-219,2018,8,0,0.0,2175.75,794148.75,0.0,Low
M-219,2019,10,0,0.0,2173.0,793145.0,0.0,Low
M-219,2021,2,1,50.0,2046.0,746790.0,133.90645295196776,High
M-219,2022,12,0,0.0,2065.75,753998.75,0.0,Low
M-219,2023,8,1,12.5,2157.75,787578.75,126.97142984114288,Medium
M-219,2024,4,0,0.0,2171.25,792506.25,0.0,Low
M-22,2016,4,0,0.0,,,,Low
M-22,2017,1,0,0.0,,,,Low
M-22,2018,1,0,0.0,,,,Low
M-22,2019,1,0,0.0,,,,Low
M-22,2020,1,0,0.0,,,,Low
M-22,2022,1,0,0.0,,,,Low
M-22,2023,2,0,0.0,,,,Low
M-22,2024,1,0,0.0,,,,Low
M-220,2016,6,1,16.6667,,,,High
