COD_MUNICIPIO,YEAR,n_total,n_proxy_substance,RADAR_proxy_pct
28104,2020,13,0,0.0
28104,2021,22,0,0.0
28104,2022,18,0,0.0
28104,2023,17,0,0.0
28104,2024,8,0,0.0
28106,2016,25,1,4.0
28106,2017,41,0,0.0
28106,2018,51,2,3.9216
28106,2019,44,0,0.0
28106,2020,15,0,0.0
28106,2021,22,1,4.5455
28106,2022,32,3,9.375
28106,2023,31,0,0.0
28106,2024,25,1,4.0
28108,2016,5,0,0.0
28108,2017,7,0,0.0
28108,2018,3,0,0.0
28108,2019,2,0,0.0
28108,2020,5,0,0.0
28108,2021,5,0,0.0
28108,2022,8,0,0.0
28108,2023,9,0,0.0
28108,2024,6,0,0.0
28113,2016,44,0,0.0
28113,2017,51,0,0.0
28113,2018,69,1,1.4493
28113,2019,54,0,0.0
28113,2020,35,0,0.0
28113,2021,53,0,0.0
28113,2022,45,0,0.0
28113,2023,62,3,4.8387
28113,2024,67,2,2.9851
28115,2016,66,0,0.0
28115,2017,81,0,0.0
28115,2018,82,0,0.0
28115,2019,75,0,0.0
28115,2020,52,1,1.9231
28115,2021,68,3,4.4118
28115,2022,68,0,0.0
28115,2023,57,2,3.5088
28115,2024,51,1,1.9608
28123,2016,52,0,0.0
28123,2017,60,0,0.0
28123,2018,57,1,1.7544
28123,2019,37,1,2.7027
28123,2020,25,0,0.0
28123,2021,33,0,0.0
28123,2022,50,0,0.0
28123,2023,43,0,0.0
28123,2024,42,0,0.0
28127,2016,123,2,1.626
28127,2017,87,1,1.1494
28127,2018,98,1,1.0204
28127,2019,76,0,0.0
28127,2020,55,0,0.0
28127,2021,83,0,0.0
28127,2022,86,0,0.0
28127,2023,77,2,2.5974
28127,2024,77,0,0.0
28129,2016,14,0,0.0
28129,2017,15,0,0.0
28129,2018,11,0,0.0
28129,2019,6,0,0.0
28129,2020,3,0,0.0
28129,2021,8,0,0.0
28129,2022,11,0,0.0
28129,2023,8,0,0.0
28129,2024,12,0,0.0
28130,2016,81,0,0.0
28130,2017,61,0,0.0
28130,2018,70,0,0.0
28130,2019,72,0,0.0
28130,2020,45,2,4.4444
28130,2021,76,1,1.3158
28130,2022,77,1,1.2987
28130,2023,85,2,2.3529
28130,2024,56,2,3.5714
28131,2016,21,0,0.0
28131,2017,20,0,0.0
28131,2018,21,0,0.0
28131,2019,27,0,0.0
28131,2020,18,1,5.5556
28131,2021,20,0,0.0
28131,2022,34,0,0.0
28131,2023,23,1,4.3478
28131,2024,18,0,0.0
28132,2016,15,0,0.0
28132,2017,20,0,0.0
28132,2018,18,0,0.0
