CARRETERA,YEAR,n_accidents,n_fatal_30d,n_serious_30d,yoy_delta_abs,yoy_delta_pct,is_covid_year
M-528,2020,1,0,0,-3.0,-75.0,True
M-528,2021,5,1,0,4.0,400.0,True
M-528,2022,2,0,0,-3.0,-60.0,False
M-528,2023,2,0,0,0.0,0.0,False
M-528,2024,2,0,0,0.0,0.0,False
M-530,2016,3,0,0,,,False
M-530,2019,2,0,1,-1.0,-33.33,False
M-530,2020,1,0,0,-1.0,-50.0,True
M-530,2021,2,0,1,1.0,100.0,True
M-530,2023,1,0,0,-1.0,-50.0,False
M-530,2024,4,0,1,3.0,300.0,False
M-531,2016,1,0,0,,,False
M-531,2017,2,0,0,1.0,100.0,False
M-531,2021,1,0,0,-1.0,-50.0,True
M-532,2016,1,0,0,,,False
M-532,2017,1,0,0,0.0,0.0,False
M-532,2019,1,0,1,0.0,0.0,False
M-532,2020,1,0,0,0.0,0.0,True
M-532,2023,2,1,1,1.0,100.0,False
M-532,2024,2,0,0,0.0,0.0,False
M-533,2016,8,0,0,,,False
M-533,2017,6,1,0,-2.0,-25.0,False
M-533,2018,7,0,1,1.0,16.67,False
M-533,2019,4,0,0,-3.0,-42.86,False
M-533,2020,10,0,2,6.0,150.0,True
M-533,2021,3,0,0,-7.0,-70.0,True
M-533,2022,5,0,0,2.0,66.67,False
M-533,2023,7,0,1,2.0,40.0,False
M-533,2024,4,0,0,-3.0,-42.86,False
M-535,2017,1,0,0,,,False
M-535,2018,1,0,0,0.0,0.0,False
M-537,2018,2,0,0,,,False
M-537,2019,1,0,0,-1.0,-50.0,False
M-537,2021,2,0,0,1.0,100.0,True
M-537,2023,1,0,0,-1.0,-50.0,False
M-538,2018,1,0,1,,,False
M-539,2016,2,1,0,,,False
M-539,2017,7,0,1,5.0,250.0,False
M-539,2018,4,0,0,-3.0,-42.86,False
M-539,2019,5,0,0,1.0,25.0,False
M-539,2020,3,0,1,-2.0,-40.0,True
M-539,2021,2,0,1,-1.0,-33.33,True
M-539,2022,3,0,0,1.0,50.0,False
M-539,2023,2,0,0,-1.0,-33.33,False
M-539,2024,2,0,0,0.0,0.0,False
