CARRETERA,TIPO_ACCIDENTE_LABEL,YEAR,n_accidents,n_total_road_year,rel_freq_pct
A-3,Vuelco,2022,4,115,3.4783
A-3,Vuelco,2024,2,145,1.3793
A-4,Atropello a personas,2017,2,164,1.2195
A-4,Atropello a personas,2018,2,157,1.2739
A-4,Atropello a personas,2020,1,94,1.0638
A-4,Atropello a personas,2021,2,116,1.7241
A-4,Atropello a personas,2022,1,134,0.7463
A-4,Atropello a personas,2023,1,141,0.7092
A-4,Caída,2016,3,136,2.2059
A-4,Caída,2017,9,164,5.4878
A-4,Caída,2018,5,157,3.1847
A-4,Caída,2019,4,143,2.7972
A-4,Caída,2020,6,94,6.383
A-4,Caída,2021,4,116,3.4483
A-4,Caída,2022,8,134,5.9701
A-4,Caída,2023,5,141,3.5461
A-4,Caída,2024,6,151,3.9735
A-4,Colisión contra obstáculo o elemento de la vía,2016,1,136,0.7353
A-4,Colisión contra obstáculo o elemento de la vía,2017,4,164,2.439
A-4,Colisión contra obstáculo o elemento de la vía,2018,5,157,3.1847
A-4,Colisión contra obstáculo o elemento de la vía,2019,1,143,0.6993
A-4,Colisión contra obstáculo o elemento de la vía,2020,1,94,1.0638
A-4,Colisión contra obstáculo o elemento de la vía,2021,1,116,0.8621
A-4,Colisión contra obstáculo o elemento de la vía,2022,2,134,1.4925
A-4,Colisión contra obstáculo o elemento de la vía,2023,4,141,2.8369
A-4,Colisión contra obstáculo o elemento de la vía,2024,1,151,0.6623
A-4,Colisión frontal,2016,1,136,0.7353
A-4,Colisión frontal,2017,1,164,0.6098
A-4,Colisión frontal,2019,2,143,1.3986
A-4,Colisión frontal,2023,2,141,1.4184
A-4,Colisión fronto-lateral,2016,4,136,2.9412
A-4,Colisión fronto-lateral,2017,7,164,4.2683
A-4,Colisión fronto-lateral,2018,5,157,3.1847
A-4,Colisión fronto-lateral,2019,7,143,4.8951
A-4,Colisión fronto-lateral,2020,5,94,5.3191
A-4,Colisión fronto-lateral,2021,7,116,6.0345
A-4,Colisión fronto-lateral,2022,2,134,1.4925
A-4,Colisión fronto-lateral,2023,6,141,4.2553
A-4,Colisión fronto-lateral,2024,5,151,3.3113
A-4,Colisión lateral,2016,21,136,15.4412
A-4,Colisión lateral,2017,23,164,14.0244
A-4,Colisión lateral,2018,22,157,14.0127
A-4,Colisión lateral,2019,22,143,15.3846
A-4,Colisión lateral,2020,11,94,11.7021
A-4,Colisión lateral,2021,20,116,17.2414
A-4,Colisión lateral,2022,16,134,11.9403
A-4,Colisión lateral,2023,21,141,14.8936
A-4,Colisión lateral,2024,28,151,18.543
A-4,Colisión múltiple,2016,23,136,16.9118
A-4,Colisión múltiple,2017,28,164,17.0732
A-4,Colisión múltiple,2018,19,157,12.1019
A-4,Colisión múltiple,2019,16,143,11.1888
