SECCION_ID,YEAR,CARRETERA,dominant_cause,n_dominant_accidents
M-600_33,2017,M-600,Colisión por alcance,1
M-600_33,2018,M-600,Colisión por alcance,2
M-600_33,2019,M-600,Colisión por alcance,1
M-600_33,2020,M-600,Colisión fronto-lateral,1
M-600_33,2021,M-600,Colisión fronto-lateral,1
M-600_33,2022,M-600,Colisión por alcance,2
M-600_33,2023,M-600,Colisión por alcance,1
M-600_34,2016,M-600,Colisión por alcance,1
M-600_34,2017,M-600,Colisión fronto-lateral,1
M-600_34,2019,M-600,Colisión fronto-lateral,1
M-600_34,2020,M-600,Colisión por alcance,1
M-600_34,2021,M-600,Salida de la vía por la derecha otro tipo,1
M-600_34,2022,M-600,Colisión fronto-lateral,2
M-600_34,2023,M-600,Colisión fronto-lateral,1
M-600_34,2024,M-600,Caída,1
M-600_35,2016,M-600,Atropello a personas,1
M-600_35,2017,M-600,Colisión lateral,1
M-600_35,2018,M-600,Colisión lateral,1
M-600_35,2019,M-600,Colisión fronto-lateral,1
M-600_35,2020,M-600,Salida de la vía por la derecha otro tipo,1
M-600_35,2021,M-600,Caída,1
M-600_35,2023,M-600,Colisión múltiple,1
M-600_36,2017,M-600,Colisión fronto-lateral,2
M-600_36,2018,M-600,Salida de la vía por la derecha con colisión,1
M-600_36,2019,M-600,Colisión frontal,1
M-600_36,2020,M-600,Colisión por alcance,1
M-600_36,2021,M-600,Colisión fronto-lateral,1
M-600_36,2022,M-600,Colisión fronto-lateral,2
M-600_36,2023,M-600,Colisión fronto-lateral,1
M-600_36,2024,M-600,Colisión fronto-lateral,1
M-600_37,2017,M-600,Colisión múltiple,1
M-600_37,2021,M-600,Colisión fronto-lateral,1
M-600_37,2023,M-600,Colisión fronto-lateral,1
M-600_38,2016,M-600,"Salida de la vía por la izquierda, otro tipo",1
M-600_38,2019,M-600,Atropello a animales,1
M-600_38,2022,M-600,Salida de la vía por la izquierda con vuelco,1
M-600_38,2024,M-600,Colisión por alcance,1
M-600_39,2016,M-600,Colisión por alcance,1
M-600_39,2018,M-600,Caída,1
M-600_39,2019,M-600,Atropello a animales,1
M-600_39,2021,M-600,Salida de la vía por la derecha otro tipo,1
M-600_39,2022,M-600,Salida de la vía por la derecha con colisión,1
M-600_39,2023,M-600,Colisión lateral,1
M-600_39,2024,M-600,Salida de la vía por la izquierda con colisión,1
M-600_4,2017,M-600,Colisión por alcance,1
M-600_4,2018,M-600,Colisión frontal,1
M-600_4,2019,M-600,Colisión por alcance,1
M-600_4,2021,M-600,Colisión frontal,1
M-600_4,2022,M-600,Colisión contra obstáculo o elemento de la vía,1
M-600_4,2023,M-600,Colisión frontal,1
M-600_4,2024,M-600,Colisión por alcance,1
M-600_40,2016,M-600,Salida de la vía por la izquierda con vuelco,1
M-600_40,2019,M-600,Colisión por alcance,1
M-600_40,2020,M-600,Salida de la vía por la derecha otro tipo,1
M-600_40,2022,M-600,Colisión frontal,1
M-600_40,2023,M-600,Colisión por alcance,1
M-600_40,2024,M-600,Colisión fronto-lateral,1
M-600_41,2019,M-600,Colisión múltiple,1
M-600_41,2020,M-600,Colisión por alcance,1
M-600_41,2022,M-600,Colisión por alcance,2
M-600_43,2019,M-600,Caída,1
M-600_43,2020,M-600,Colisión lateral,1
M-600_43,2023,M-600,Salida de la vía por la derecha con colisión,1
M-600_43,2024,M-600,Salida de la vía por la derecha con colisión,1
M-600_44,2020,M-600,Salida de la vía por la derecha con vuelco,1
M-600_45,2016,M-600,Colisión por alcance,1
M-600_46,2017,M-600,Salida de la vía por la derecha con colisión,1
M-600_46,2021,M-600,Salida de la vía por la derecha otro tipo,1
M-600_47,2017,M-600,Caída,1
M-600_47,2019,M-600,Colisión múltiple,1
M-600_47,2023,M-600,Colisión por alcance,1
M-600_47,2024,M-600,Salida de la vía por la derecha con vuelco,1
M-600_48,2019,M-600,Colisión fronto-lateral,1
M-600_48,2022,M-600,Colisión frontal,1
M-600_48,2023,M-600,Salida de la vía por la derecha con vuelco,1
M-600_48,2024,M-600,Colisión lateral,1
M-600_5,2016,M-600,Colisión por alcance,2
M-600_5,2017,M-600,Colisión por alcance,3
M-600_5,2018,M-600,Colisión por alcance,2
M-600_5,2019,M-600,Colisión por alcance,6
M-600_5,2020,M-600,Colisión lateral,1
M-600_5,2021,M-600,Colisión fronto-lateral,4
M-600_5,2022,M-600,Colisión por alcance,6
M-600_5,2023,M-600,Colisión por alcance,2
M-600_5,2024,M-600,Colisión múltiple,1
M-600_50,2020,M-600,Colisión fronto-lateral,1
M-600_50,2021,M-600,Colisión frontal,1
M-600_50,2022,M-600,Colisión por alcance,1
M-600_51,2016,M-600,Colisión frontal,1
M-600_51,2017,M-600,Salida de la vía por la derecha con vuelco,1
M-600_51,2018,M-600,Colisión por alcance,1
M-600_51,2019,M-600,Colisión lateral,1
M-600_51,2021,M-600,Colisión lateral,1
M-600_6,2016,M-600,Colisión fronto-lateral,2
M-600_6,2017,M-600,Salida de la vía por la derecha con colisión,1
M-600_6,2018,M-600,Colisión por alcance,2
M-600_6,2019,M-600,Colisión por alcance,2
M-600_6,2020,M-600,Colisión fronto-lateral,1
M-600_6,2021,M-600,Colisión lateral,1
M-600_6,2022,M-600,Colisión por alcance,6
M-600_6,2023,M-600,Colisión por alcance,2
M-600_6,2024,M-600,Colisión por alcance,1
M-600_7,2016,M-600,Colisión por alcance,3
M-600_7,2017,M-600,Colisión por alcance,1
M-600_7,2018,M-600,Colisión por alcance,1
M-600_7,2019,M-600,Colisión por alcance,2
M-600_7,2020,M-600,Colisión por alcance,2
